2017,13748586.550387597
1998,49795674.60064935
2004,40280657.46831956
1993,76772929.41836734
2011,14867551.865248227
2010,16608842.455199713
2012,11780674.829930145
2007,32106492.859350026
2001,38691099.26752336
1995,34901190.07880435
1992,33976249.31097561
1997,38978873.495297804
2014,6535848.227410887
1991,48841063.950704224
2006,28370746.725735754
1990,24080617.0
1994,43377816.79268292
2002,41310144.473744296
2009,24488709.42009739
2008,23245703.434735116
2003,41740023.447257385
1996,36185037.15033784
1999,36683514.59594096
2016,5268224.976814516
2005,31562200.262548264
2000,33554677.282204024
2015,6811008.644886363
2013,9622524.994767137
