ZAF,46240236.08264463
DMA,100000.0
BEL,7278457.8270676695
KEN,51368390.35483871
PRY,3412500.0
LBN,1287861.111111111
PRK,35000.0
KHM,542142.8571428572
DZA,27689406.0
SYC,217500.0
LKA,990373.3333333334
SGP,22873913.048442908
ISR,12272980.04978903
EGY,3805539.4242424243
LIE,4453268.0
JOR,2908937.911764706
IRL,10544082.531791907
CRI,451292.5
BGD,4339423.380952381
CYP,3951346.222222222
ISL,1487296.5393258426
MLT,2261420.714285714
MMR,1622600.6666666667
EST,1688640.5726495727
IND,23273033.666666668
FRA,9065008.205683356
CIV,2112641.6666666665
URY,1556885.8461538462
CHL,396361.91588785045
COL,10754472.085365854
ARG,2713814.704225352
MOZ,300000.0
NPL,1685833.3333333333
MCO,658290.3333333334
SVN,831524.552631579
MUS,128339354.3076923
IMN,5000000.0
LTU,3294959.5531914895
MDG,28900000.0
UZB,90000.0
PSE,2380000.0
QAT,3863750.0
BRA,9637766.087890625
CHN,102708581.24776119
SLE,20000000.0
VEN,274391.23529411765
BIH,40306.0
MLI,17585481.0
SRB,403431.7826086957
GRC,2507822.5161290322
CMR,108201.25
REU,54504.0
THA,5832704.416666667
UKR,1061346.3163265307
CHE,18599852.316666666
MKD,351447.0
BLR,399545.45454545453
TWN,13140688.113636363
ECU,214163.41666666666
ETH,2529000.0
GEO,233717.14285714287
USA,21864022.40374466
DNK,7851426.648148148
IRN,39893826.375
POL,17954223.906862747
AUS,10091949.035802469
RWA,824000.0
TTO,5108750.0
MAR,1176315.7894736843
HND,4500.0
JAM,416694000.0
PAK,3164485.153846154
HTI,2500000.0
KOR,13030467.296836983
SAU,1200297.6
SVK,1447116.5675675676
PRI,2386150.1666666665
ALB,2561481.5
MNE,12200000.0
NOR,10036522.339869281
BHR,83134.5
FIN,5393101.1
DEU,17434085.75208681
JEY,28358073.2
RUS,30102568.810444873
NZL,11345117.4453125
CAN,12266652.151252847
LUX,31383214.19047619
MEX,4297435.566037736
ZMB,130514.0
TGO,100000000.0
DOM,129532.66666666667
HKG,19566812.37894737
TUR,3537860.9587628865
GIB,12550898.5
ESP,11547174.81369248
ARM,2892159.9
BWA,375500.0
BGR,532885.4603174604
AZE,527998.7692307692
SLV,616666.6666666666
BLZ,265721.0
SWE,12732102.79661017
PER,1904703.037037037
MTQ,1490000.0
HRV,596713.2666666667
NIC,475000.0
CZE,4676733.078651685
HUN,1501152.68
MYS,8439691.42857143
GHA,2086240.5555555555
COG,105000000.0
SOM,2000000.0
GBR,10040686.875601927
LBR,20000000.0
MAF,29243184.0
LVA,4336508.389830508
PRT,1735333.5039370079
BMU,120924187.6
NGA,22766951.56862745
NLD,14437533.215851601
ROM,1522351.786885246
ARE,21581907.935714286
ITA,2357141.593625498
IDN,37031819.39622641
GTM,3232290.5714285714
PHL,16904465.91780822
ZWE,2510500.0
TAN,12078900.5
JPN,37457510.07236842
BAH,3386666.6666666665
PAN,1977206.1538461538
TUN,3683462.1666666665
MDA,32800.0
KAZ,403333.3333333333
VNM,14283041.854166666
IRQ,25000.0
OMN,10000.0
BRB,5500000.0
GGY,3480000.0
COD,4831393.0
AUT,8350909.012738854
UGA,548534.1764705882
SEN,3295944.0
CYM,13998773.714285715
LAO,2100000.0
KWT,803333.25
